Student_ID,Age,Gender,City,Course_Category,Enrollment_Type,Study_Hours_Per_Week,Live_Sessions_Attended,Assignments_Completed_Percent,Mock_Test_Score,Projects_Completed,Internship_Completed,LinkedIn_Profile,Resume_Score,Final_Score,Completion_Status,Placement_Status,Placement_Package_LPA,Satisfaction_Rating
1,24,Female,Hyderabad,Data Science,Paid,7,7,46,48,0,No,Yes,33,46,Not Completed,Placed,14.75,4
2,32,Female,Chennai,Cyber Security,Free,11,5,32,29,4,Yes,Yes,65,31,Not Completed,Not Placed,0.0,1
3,28,Female,Mumbai,Data Science,Free,19,2,73,60,0,Yes,Yes,39,59,Completed,Placed,14.24,3
4,25,Male,Bangalore,Cyber Security,Paid,16,1,67,53,3,No,Yes,87,70,Completed,Placed,3.01,4
5,24,Female,Delhi,AI,Free,9,11,45,35,4,Yes,Yes,80,66,Not Completed,Placed,13.73,3
6,28,Male,Pune,AI,Free,27,6,94,86,3,No,Yes,80,100,Completed,Placed,6.73,5
7,28,Female,Pune,Cloud Computing,Free,10,11,39,51,3,No,Yes,55,44,Not Completed,Placed,6.74,1
8,21,Female,Mumbai,Web Development,Paid,6,11,62,35,1,No,Yes,52,64,Not Completed,Not Placed,0.0,3
9,25,Male,Pune,Cloud Computing,Paid,11,11,49,80,4,Yes,Yes,70,55,Not Completed,Not Placed,0.0,3
10,20,Female,Chennai,Cyber Security,Free,21,10,100,71,0,Yes,No,44,72,Completed,Placed,5.56,4
11,19,Male,Pune,Cloud Computing,Free,7,0,29,27,0,No,Yes,42,35,Not Completed,Not Placed,0.0,1
12,29,Male,Bangalore,Data Science,Free,17,2,77,51,4,No,Yes,80,71,Completed,Placed,13.79,2
13,23,Female,Bangalore,Cyber Security,Paid,25,11,97,92,5,No,Yes,100,96,Completed,Placed,4.23,3
14,19,Male,Delhi,AI,Paid,28,10,94,100,1,Yes,Yes,69,94,Completed,Placed,4.71,5
15,18,Male,Hyderabad,Web Development,Paid,4,3,27,22,1,Yes,No,13,28,Not Completed,Placed,13.34,1
16,29,Female,Chennai,Cyber Security,Paid,11,12,52,62,1,Yes,Yes,35,65,Completed,Placed,7.79,4
17,29,Male,Delhi,Cyber Security,Paid,12,13,47,71,0,No,Yes,17,61,Not Completed,Placed,5.03,3
18,34,Male,Chennai,Data Science,Paid,12,0,53,35,3,Yes,Yes,52,47,Completed,Placed,9.13,1
19,27,Male,Hyderabad,Web Development,Paid,18,4,50,60,5,Yes,Yes,63,68,Not Completed,Placed,8.0,2
